transect,route_description,tlength_km,tlength_m,forest,forest_tea,coffee_forest,tea,coffee,eucalyptus,eucalyptus_tea 
Azhiyar,1st Hairpin bend to Azhiyar,5.1,5100,5100,0,0,0,0,0,0
Attakatti - 1 hpb,Attakatti to 1st hairpin bend,6.7,6700,6700,0,0,0,0,0,0
Waterfalls,Waterfalls estate to Attakatti,5.2,5200,5200,0,0,0,0,0,0
Waverly,40th hairpin bend to Waverly estate,8.5,8500,4952,1348,0,2200,0,0,0
Balaji Temple,"40th hairpin bend to near Balaji Temple, Karumalai ",6.7,6700,170,1800,0,3880,0,650,200
Puthuthotam,From Puthutotam forest fragment start to Iyerpadi hospital,3.7,3753,2100,802,0,851,0,0,0
Old Valparai,Matha junction to Varattuparai,6.1,6100,990,0,960,1250,1500,0,1400
Sholayar,Varattuparai to Sholayar dam,12.9,12900,0,0,0,12900,0,0,0
Nallamudi,Valparai to Nallamudi Poonjolai viewpoint,9.3,9300,0,0,0,9300,0,0,0
Neerar Dam,From near Koolangal ar to Neerar dam,9.2,9200,780,350,0,8070,0,0,0
Chinnakallar,From near forest checkpost to Chinnakallar,6.8,6800,670,2200,0,3930,0,0,0
Opportunistic,Supplementary observation from various locations,NA,NA,NA,NA,NA,NA,NA,NA,NA
