transect,season,incident_count,survey_count,canopy_score,vertical_score,tlength_km,forest_pct,plantation_pct,incident_rate,is_monsoon,traffic_volume,fencing_present,risk_label
Attakatti - 1 hpb,monsoon,64,11,0.40074906367041196,0.07865168539325842,6.7,1.0,0.0,5.818181818181818,1,400.0,0.0,0
Attakatti - 1 hpb,summer,25,8,0.40074906367041196,0.07865168539325842,6.7,1.0,0.0,3.125,0,400.0,0.0,0
Azhiyar,monsoon,80,10,0.5392156862745098,0.1323529411764706,5.1,1.0,0.0,8.0,1,400.0,0.0,0
Azhiyar,summer,15,8,0.5392156862745098,0.1323529411764706,5.1,1.0,0.0,1.875,0,400.0,0.0,0
Balaji Temple,monsoon,210,12,0.2549800796812749,0.08366533864541832,6.7,0.025373134328358207,0.6761194029850747,17.5,1,800.0,0.0,1
Balaji Temple,summer,38,7,0.2549800796812749,0.08366533864541832,6.7,0.025373134328358207,0.6761194029850747,5.428571428571429,0,800.0,0.0,0
Chinnakallar,monsoon,99,10,0.5760869565217391,0.06159420289855073,6.8,0.09852941176470588,0.5779411764705882,9.9,1,400.0,0.0,0
Chinnakallar,summer,37,8,0.5760869565217391,0.06159420289855073,6.8,0.09852941176470588,0.5779411764705882,4.625,0,400.0,0.0,0
Nallamudi,monsoon,399,11,0.024456521739130436,0.005434782608695652,9.3,0.0,1.0,36.27272727272727,1,400.0,0.0,1
Nallamudi,summer,116,8,0.024456521739130436,0.005434782608695652,9.3,0.0,1.0,14.5,0,400.0,0.0,1
Neerar Dam,monsoon,169,9,0.260752688172043,0.02956989247311828,9.2,0.08478260869565217,0.8771739130434782,18.77777777777778,1,400.0,0.0,1
Neerar Dam,summer,56,8,0.260752688172043,0.02956989247311828,9.2,0.08478260869565217,0.8771739130434782,7.0,0,400.0,0.0,0
Old Valparai,monsoon,340,10,0.5551020408163265,0.18775510204081633,6.1,0.16229508196721312,0.45081967213114754,34.0,1,400.0,0.0,1
Old Valparai,summer,61,8,0.5551020408163265,0.18775510204081633,6.1,0.16229508196721312,0.45081967213114754,7.625,0,400.0,0.0,0
Puthuthotam,monsoon,304,13,0.722972972972973,0.5,3.7,0.5595523581135092,0.226751931787903,23.384615384615383,1,400.0,0.0,1
Puthuthotam,summer,87,8,0.722972972972973,0.5,3.7,0.5595523581135092,0.226751931787903,10.875,0,400.0,0.0,1
Sholayar,monsoon,174,10,0.150390625,0.037109375,12.9,0.0,1.0,17.4,1,400.0,0.0,1
Sholayar,summer,197,8,0.150390625,0.037109375,12.9,0.0,1.0,24.625,0,400.0,0.0,1
Waterfalls,monsoon,146,11,0.7788461538461539,0.32211538461538464,5.2,1.0,0.0,13.272727272727273,1,400.0,0.0,1
Waterfalls,summer,38,8,0.7788461538461539,0.32211538461538464,5.2,1.0,0.0,4.75,0,400.0,0.0,0
Waverly,monsoon,232,10,0.6666666666666666,0.2134502923976608,8.5,0.5825882352941176,0.25882352941176473,23.2,1,400.0,0.0,1
Waverly,summer,82,8,0.6666666666666666,0.2134502923976608,8.5,0.5825882352941176,0.25882352941176473,10.25,0,400.0,0.0,0
